idx,smiles_raw,valid,smiles_canon
0,OC1CC2CC1C2,1,OC1CC2CC1C2
1,CC1C2CC(C)=CC1C2,1,CC1=CC2CC(C1)C2C
2,CC1C2CC1(C#N)N2C,1,CC1C2CC1(C#N)N2C
3,O=CC12C3CC(C1)C2C3,1,O=CC12CC3CC1CC32
4,C1=CC23CN4CC(C23)C14,0,
5,CC(C)C#CCOC=O,1,CC(C)C#CCOC=O
6,CC1(C2CN2)CCO1,1,CC1(C2CN2)CCO1
7,COC1(C#N)CC12CO2,1,COC1(C#N)CC12CO2
8,C#CC(O)C1CCOC1,1,C#CC(O)C1CCOC1
9,CC(C#N)CCOC=O,1,CC(C#N)CCOC=O
10,OC12CC3(C)C1C(O)C32,1,CC12CC3(O)C1C(O)C23
11,CC1C2OCCC12O,1,CC1C2OCCC12O
12,O=C1C=CC2CCC12O,1,O=C1C=CC2CCC12O
13,CCN1CC(=O)NC=O,0,
14,CN1C(=O)CC=CCO1,1,CN1OCC=CCC1=O
15,OC1CC12CC1CC12,1,OC1CC12CC1CC12
16,C#CC1(CC)CC1C,1,C#CC1(CC)CC1C
17,C#CC1=CCOC1C=O,1,C#CC1=CCOC1C=O
18,CNC1=NC(C#N)CC1,1,CNC1=NC(C#N)CC1
19,CN=C1CC(C)C(=O)N1,1,CN=C1CC(C)C(=O)N1
20,CC(=O)C1CNC(=O)N1,1,CC(=O)C1CNC(=O)N1
21,O=C1CC=CC(=O)O1,1,O=C1C=CCC(=O)O1
22,CC(=O)C1CC1CO,1,CC(=O)C1CC1CO
23,OC1C(CO)C2OC2C1,1,OCC1C(O)CC2OC21
24,CC1C(C)C12CC1OC12,1,CC1C(C)C12CC1OC12
25,COC12COCCC1C2,1,COC12COCCC1C2
26,C#CC1C(C)C1OC,1,C#CC1C(C)C1OC
27,CN1C2CC1C2C1CN1,1,CN1C2CC1C2C1CN1
28,CC#CC(CO)C1CC1,1,CC#CC(CO)C1CC1
29,CNC(=O)C#CC(C)=O,1,CNC(=O)C#CC(C)=O
30,CC#CC1OC2CC12O,1,CC#CC1OC2CC12O
31,O=C1NC(=O)CO2CC12,0,
32,C#CC1(O)CNC(=O)C1,1,C#CC1(O)CNC(=O)C1
33,CC12C3C4CC(C13)C24O,1,CC12C3C1C1CC3C12O
34,CC(=O)OCCC(N)=O,1,CC(=O)OCCC(N)=O
35,CC(=O)C1CNC(=O)C1,1,CC(=O)C1CNC(=O)C1
36,CC1(C)COCCC1=O,1,CC1(C)COCCC1=O
37,O=CC1C=CCN=CO1,1,O=CC1C=CCN=CO1
38,CC1=CCC2(CC2)C1O,1,CC1=CCC2(CC2)C1O
39,OC1C=CC23CCC2C13,1,OC1C=CC23CCC2C13
40,CN1CC1C(=O)C1CO1,1,CN1CC1C(=O)C1CO1
41,C#CC1OC12CCC2C,1,C#CC1OC12CCC2C
42,CN1CC1(C)C1(C)CC1,1,CN1CC1(C)C1(C)CC1
43,O=C1NCC(=O)C(O)C1,1,O=C1CC(O)C(=O)CN1
44,COC1C2COC1CC2,1,COC1C2CCC1OC2
45,O=C1CC2CC3C1C23O,1,O=C1CC2CC3C1C23O
46,CC1(C)OC2CC2C1O,1,CC1(C)OC2CC2C1O
47,C#CC(O)C1CC2CC21,1,C#CC(O)C1CC2CC21
48,C#CC(CO)N1CC1C,1,C#CC(CO)N1CC1C
49,O=C1CN=C2C(O)C1O2,1,O=C1CN=C2OC1C2O
50,CCCC12CN1C(C)C2,1,CCCC12CC(C)N1C2
51,CNc1cnccc1C,1,CNc1cnccc1C
52,C#CC1CC1(C)C(N)=O,1,C#CC1CC1(C)C(N)=O
53,CCC12CC(C=C3)C1C23,1,CCC12CC3C=CC1C32
54,C#CC(CO)C(O)C=O,1,C#CC(CO)C(O)C=O
55,COCC1C2C(C)CC12,1,COCC1C2CC(C)C12
56,C#CC1(C)CN1C(C)=O,1,C#CC1(C)CN1C(C)=O
57,CC1C2C3CC(C1O)C23,1,CC1C(O)C2CC3C1C23
58,CC(C)(C)C(=O)C1CC1,1,CC(C)(C)C(=O)C1CC1
59,CC12OC1C1(C)CC21,1,CC12CC1C1(C)OC21
60,O=C1CC2CCC12CO,1,O=C1CC2CCC12CO
61,C1CC2(CC1)C1CC2C1,1,C1CCC2(C1)C1CC2C1
62,CCCC1CC(C)(C)C1,1,CCCC1CC(C)(C)C1
63,C#CCC(O)C(C)C,1,C#CCC(O)C(C)C
64,CCC12CN3CC1C32,1,CCC12CN3CC1C32
65,CC(=O)N1CCC1O,1,CC(=O)N1CCC1O
66,O=CN1CC2CCC21,1,O=CN1CC2CCC21
67,C1OC2C1N1CCC12,1,C1CN2C1C1OCC12
68,CCC1(C)C2CC1C2O,1,CCC1(C)C2CC1C2O
69,CCN(C)C(=O)CC=O,1,CCN(C)C(=O)CC=O
70,CC12CC(O)C(CO1)C2,1,CC12CC(O)C(CO1)C2
71,CC#CCC1CN1C=O,1,CC#CCC1CN1C=O
72,CNc1cccc(O)n1,1,CNc1cccc(O)n1
73,C1CC2(CC1)CC2CO1,0,
74,CCCCC1OC2CC12,1,CCCCC1OC2CC12
75,COC12CC3OC1C2O3,1,COC12CC3OC1C2O3
76,CC1(C)CC(=O)C12CO2,1,CC1(C)CC(=O)C12CO2
77,CC12C3C4C(C)(C1O3)C42,1,CC12C3OC1C1(C)C3C21
78,OC1COC(=O)C12CC2,1,O=C1OCC(O)C12CC2
79,CC1(C)OCC1C1CO1,1,CC1(C)OCC1C1CO1
80,O=C1NCC1(O)CC=O,1,O=CCC1(O)CNC1=O
81,CCC(C)(C#N)NC=O,1,CCC(C)(C#N)NC=O
82,CC1CC(=O)C1CO,1,CC1CC(=O)C1CO
83,C1OC2COCC2CO1,1,C1OCC2COCC2O1
84,CCCC1OC12CC2O,1,CCCC1OC12CC2O
85,C#CC1CCC12CCC2,1,C#CC1CCC12CCC2
86,CC1C2CC(C#N)CC12,1,CC1C2CC(C#N)CC12
87,CC(C)(C)OCC#N,1,CC(C)(C)OCC#N
88,CC(C)(O)C12COC1C2,1,CC(C)(O)C12COC1C2
89,OC1CC2CC2C1O,1,OC1CC2CC2C1O
90,C#CC(C)(C#N)CO,1,C#CC(C)(C#N)CO
91,C#CC1C=CC2CC12,1,C#CC1C=CC2CC12
92,O=C1C2C3CC2(CO)C13,1,O=C1C2C3CC2(CO)C13
93,CC1(C)C2C3N1CC32C,1,CC12CN3C1C2C3(C)C
94,CC1(C)C2CC(C2)C2O1,0,
95,CC12CC1C(=O)C(O)C2,1,CC12CC(O)C(=O)C1C2
96,C1CC2(CN3)C1CC1C23,0,
97,C1=CC2C3CCC3C12O,1,OC12C=CC1C1CCC12
98,C1C2C3NC2(C1)C3,1,C1CC23CC(N2)C13
99,C#CC1C(CO)C2NC12,1,C#CC1C(CO)C2NC12
100,CNc1cn(C)c(C)c1,1,CNc1cc(C)n(C)c1
101,C1OC1C12C3C4CN1C34,0,
102,CCC(C)C(C)OC=O,1,CCC(C)C(C)OC=O
103,COC1(C)CCC1(C)O,1,COC1(C)CCC1(C)O
104,C#CC(C)C1CCCO1,1,C#CC(C)C1CCCO1
105,OC1COC1C1CO1,1,OC1COC1C1CO1
106,O=CN1C2CC1C21CC1,1,O=CN1C2CC1C21CC1
107,OC1CC12C1NC2CO1,1,OC1CC12C1COC2N1
108,CNc1ncc(N)n1C,1,CNc1ncc(N)n1C
109,C1CC1C12CC3CC1N32,1,C1CC1C12CC3CC1N32
110,C#CC1=CCC2CC12O,1,C#CC1=CCC2CC12O
111,CN1C2CC3(CN3)C12O,1,CN1C2CC3(CN3)C21O
112,C#CC(C)C(O)C1CO1,1,C#CC(C)C(O)C1CO1
113,C#CC(O)C#CCO,1,C#CC(O)C#CCO
114,CC1CC(=O)N1C=O,1,CC1CC(=O)N1C=O
115,O=C1CCOCC1,1,O=C1CCOCC1
116,CC#CC12CCC(C1)O2,1,CC#CC12CCC(C1)O2
117,C#CC12CC3C(O1)C3O2,1,C#CC12CC3C(O1)C3O2
118,CCN1CC2C(CO)CC12,1,CCN1CC2C(CO)CC21
119,CCC1OCC(=O)C1,1,CCC1CC(=O)CO1
120,O=C1NC(=O)C2CC1O2,1,O=C1NC(=O)C2CC1O2
121,O=C1C2C3CC4C2NC343,0,
122,C#CC1=CC(=O)NC1C,1,C#CC1=CC(=O)NC1C
123,COC1CCC1C=O,1,COC1CCC1C=O
124,OC1C2OC2C2NC12,1,OC1C2NC2C2OC12
125,CCC12C3OCC1(O)C32,1,CCC12C3OCC1(O)C32
126,CC1CC2NC2C12CO2,1,CC1CC2NC2C12CO2
127,O=CNCCCCCO,1,O=CNCCCCCO
128,C#CC(CC=O)C1CC1,1,C#CC(CC=O)C1CC1
129,C#CC(C)C12COC1C2,1,C#CC(C)C12COC1C2
130,CC1COC(=O)C1C,1,CC1COC(=O)C1C
131,O=C1NC2(CC3O)CN12,0,
132,O=CCC1=CCCC1O,1,O=CCC1=CCCC1O
133,CCNc1cn[nH]c1N,1,CCNc1cn[nH]c1N
134,C1=CC(C2CC2)CN1,1,C1=CC(C2CC2)CN1
135,O=COC1C=CCOC1,1,O=COC1C=CCOC1
136,CC1CC(=O)C1(O)C=O,1,CC1CC(=O)C1(O)C=O
137,COCC1(C)CCCC1,1,COCC1(C)CCCC1
138,C#CCC1C(C)C1(C)O,1,C#CCC1C(C)C1(C)O
139,O=C1CC2OC3C2NC13,1,O=C1CC2OC3C1NC23
140,C#CC1C(C)C2CC1C2,1,C#CC1C2CC(C2)C1C
141,CCC(CO)CCC=O,1,CCC(CO)CCC=O
142,C#CCC1(C=O)CCC1,1,C#CCC1(C=O)CCC1
143,C#CC(O)C1CC(=O)N1,1,C#CC(O)C1CC(=O)N1
144,CNc1cc(C)c(O)[nH]1,1,CNc1cc(C)c(O)[nH]1
145,CC1COC2CC1CC2,1,CC1COC2CCC1C2
146,OC1CC12CC1OC12,1,OC1CC12CC1OC12
147,CC12CCC3(CN3)N1C2,1,CC12CCC3(CN3)N1C2
148,OC1CC(O)C2OCC12,1,OC1CC(O)C2OCC12
149,CCC1CCC(=O)N1C,1,CCC1CCC(=O)N1C
150,CC1=C2CC3C(O)C2C13,1,CC1=C2CC3C(O)C2C13
151,OC1C=C2C3C4CC3N12,0,
152,O=C1CN(C2CC2)C1,1,O=C1CN(C2CC2)C1
153,O=C1COC(=O)C2CN12,1,O=C1OCC(=O)N2CC12
154,C1=CCC2CC2CC1,1,C1=CCC2CC2CC1
155,C#CC1(C#N)CC(=O)N1,1,C#CC1(C#N)CC(=O)N1
156,O=C1NCC2CC12O,1,O=C1NCC2CC12O
157,CC12C3C(C1=O)C1OC32,0,
158,C#CC1=CC(=O)N(C)C1,1,C#CC1=CC(=O)N(C)C1
159,C1=CC2C(C3CC3)C2C1,1,C1=CC2C(C1)C2C1CC1
160,O=C1C2CC(CO1)C2,1,O=C1OCC2CC1C2
161,CC1C=C(CO)CC=C1,1,CC1C=CCC(CO)=C1
162,CNC(=O)C(O)C1CO1,1,CNC(=O)C(O)C1CO1
163,CC12COC(C1CC2)O,1,CC12CCC1C(O)OC2
164,CCC1(CO)COC1=O,1,CCC1(CO)COC1=O
165,OC1CC(CO)C1O,1,OCC1CC(O)C1O
166,CC12COC(C)(C1)C2O,1,CC12COC(C)(C1)C2O
167,CCC1(O)CC2CC21,1,CCC1(O)CC2CC21
168,O=CC12CC(CC1)C2O,1,O=CC12CCC(C1)C2O
169,CC#CC1(C#N)CC1O,1,CC#CC1(C#N)CC1O
170,C1C2OC3C4C1C4N2C3,1,C1C2C3C4CN(C1O4)C23
171,CC(=O)C1=CCOCC1,1,CC(=O)C1=CCOCC1
172,CN=C1OCC(=O)C1C,1,CN=C1OCC(=O)C1C
173,OC1CC23COC2C1C3,1,OC1CC23COC2C1C3
174,CC1(C)COCC(O)C1,1,CC1(C)COCC(O)C1
175,CCC12CC(O)C1C2O,1,CCC12CC(O)C1C2O
176,CC1CC2OCC1O2,1,CC1CC2OCC1O2
177,CCCC1OCC2CC21,1,CCCC1OCC2CC21
178,CC(C)(C)CCC#N,1,CC(C)(C)CCC#N
179,COCC1COC1=N,1,COCC1COC1=N
180,OC1C2OC13C=CCC23,1,OC1C2OC13C=CCC23
181,C#CC1(C)CC(=O)C1=O,1,C#CC1(C)CC(=O)C1=O
182,CC(=O)OC(C)CCO,1,CC(=O)OC(C)CCO
183,CC1CC1C(C)C#N,1,CC(C#N)C1CC1C
184,OC1COC2CCCC12,1,OC1COC2CCCC12
185,CC(C)C#CCC(C)=O,1,CC(=O)CC#CC(C)C
186,CC1(C#N)OC2CC21,1,CC1(C#N)OC2CC21
187,CC1CC1C1(C)CC1,1,CC1CC1C1(C)CC1
188,CC1=CC(CO)C(=O)N1,1,CC1=CC(CO)C(=O)N1
189,C#CC1C(=O)C12CCC2,1,C#CC1C(=O)C12CCC2
