idx,smiles,valid
0,C#CCC1CC1CC#N,1
1,OC1C2OCC3C(O1)C23,1
2,CC12CNCC1C2O,1
3,CC12CC(O)C3CC1C32,1
4,CC12CCC1(C)C1CC12,1
5,CC1CC1(O)C(C)O,1
6,CCC1CCC2C(O)C12,1
7,COCC(C)OC=N,1
8,CC(C)C1CC2(CC2)O1,1
9,CC1C=C(CO)C2NC12,1
10,C1OC2C3CC1N1C3C12,1
11,CCC1C=C(CC)CC1,1
12,COC1CC1C(=O)OC,1
13,COC1CCC1C(C)=O,1
14,C1OCC2CC3C(C1)C23,1
15,CN1C(=O)C2OCC(=O)C21,1
16,CN1CC1(C)C#CCO,1
17,CC(C)CC12CCC1C2,1
18,CC1CC1OCC=O,1
19,O=C1C2CC3C(O)C1C23,1
20,CC(=O)C1C(O)C2OC21,1
21,CC#CCCC1CC1,1
22,O=C1C2C=CC(CO)C12,1
23,O=C1NC=CC12CCC2,1
24,CC1CC(=O)C=CCC1,1
25,O=C1NC2CC1OC2=O,1
26,CC1=C2CN2C2C3CC1C32,1
27,CC#CC1C(C)OC1=O,1
28,CCC(C)C#CCCO,1
29,C1CC2C3CN=CN2C13,1
30,OC1CC2OC2C1O,1
31,C#CC1CC1CC=O,1
32,CC12C3C(=O)C1CC32,1
33,OC1CCC(O)C2CC12,1
34,C1CC2C3OC21CC3,1
35,C#CC(C)C(C)C1CO1,1
36,O=C1CNC2CC12O,1
37,CC1C2C=CC(=O)CC12,1
38,CC12CN1C1CC3N1C23,1
39,CC1C=CC(=O)NC1=O,1
40,CC1CCC12C(C)C2O,1
41,C1=CC2C(COCO1)C2,1
42,CCC1(CO)CCC1O,1
43,C#CC1(CCO)COC1,1
44,CC12C=CC(CN1)C2O,1
45,CCCC1CC1CO,1
46,CN=C1C=CC(=O)C1O,1
47,CN1C(=O)C(C)CC1O,1
48,CC1CC1(O)C1CC1O,1
49,O=C1C2CC3C2N1C3C1,0
50,CCC12CC(C1)OC2=O,1
51,CNc1ncc(CO)o1,1
52,CC1=CC(CO)CC1,1
53,C1C2C3OC4C(C3N12)N55,0
54,CC(CC1COC1CC#N,0
55,CC12OCCCCC1N2,1
56,CC1=C(C#N)NCC1O,1
57,C#CC(C#C)C1CO1,1
58,C#CC1C=C2CCC12,1
59,O=C1NC2COCC2O1,1
60,CC(=O)C(=O)C(C)C#N,1
61,C#CC(O)(CC)C(C)C,1
62,OC1CC1CCC1CO1,1
63,C#CC1=CCC(C)CO1,1
64,C#CCCC(C=O)OC,1
65,CCOC(C=O)C1CC1,1
66,CC1CC2C(O)C3C1C23,1
67,CCC1COC1CCO,1
68,CC12CC1(CO)COC2,1
69,CCC1(C)CC(=O)C=O,0
70,CCC(=O)NC(C)=O,1
71,CC12CN1C1C(C)C12O,1
72,O=C1CC=CC(=O)CO1,1
73,CC1=CC2OC2C12CO2,1
74,OC1CC12CCC1OC12,1
75,CC1C2CC1C1OC21,1
76,CNc1ncn(C)c1C,1
77,CC(=O)C1=CC2OCC21,1
78,C1=CC(OC=N2CC2)CO1,0
79,O=COCC1CN1CC,1
80,CC1CC2(CN2)C1=O,1
81,CC1(C)CC12CCOC2,1
82,CC1(C)C2CNC2(C)C1,1
83,CC1CC(=O)CC12CC2,1
84,CC1C2C=CC(C)(C1)O2,1
85,CC(C=O)NC=O,1
86,O=C1CCCCC12CN2,1
87,OC1CC2(COC2)CC1,1
88,CC1CC2C(C)C1C2,1
89,CCC1CCC12CC2,1
90,CC1=CC2C(O)C(C)C12,1
91,COCC12COC1C2O,1
92,CN=C1OCC2CC12O,1
93,CCC1CC1(C)C#N,1
94,CC(C#N)C1CC(C)C1,1
95,CCC(CC)COC=O,1
96,CC#CCC1OC1C=O,1
97,COC1CC12CN1CC12,1
98,CC1C=C(C=O)NC1=O,1
99,CC1=C(C)OC1C(N)=O,1
100,CCC1CC2OC(=O)C12,1
101,OC1C=CC23CCC12N3,1
102,C#CC#CC(=O)NC=O,1
103,CC1CC12COC(=O)C2,1
104,CC12CC(CC1O)C2C,1
105,O=C1CNCCCC1=O,1
106,OC1C2CC(O)C12CO,1
107,C#CC1OCCC1(C)O,1
108,CC1=CC(C)OC2CC12,1
109,C#CC1C=CCCC1=O,1
110,O=CC1OC1C1(O)CC1,1
111,OC1CC2(CCOC2)O1,1
112,CN=C1CC=CCOC1,1
113,CC(C#N)CC(C)C=O,1
114,CCC(C)(C)CCC=O,1
115,CC(=O)CC1CCC1,1
116,O=CC1(O)CCCC1,1
117,CC12CCC(C)(C1)C2O,1
118,C1C2OC34NCC3(C1)C42,1
119,CCC1C2C=CC(=O)C12,1
120,CC(C)C1CC(=O)C1=O,1
121,CC1CC2C(C)C(=O)C12,1
122,CC(C#N)CC#CCO,1
123,CCC1CC2C(O)CO2,0
124,CC12CC(O)C(C)C1N2,1
125,CC(=O)CC(CO)OC,1
126,O=CNC1C=CCOC1,1
127,CC1C2NC(=O)NC21,1
128,CC1C2OC(=N)OC2C1,1
129,CC1CCCC2CC12C,1
130,CC1(C)CC1C(O)C#N,1
131,CC(C)CCC1CC1,1
132,CC12CC3CC(O1)C32O,1
133,O=C1NCCCCCC1,1
134,CC1CC12C(C#N)C2=O,1
135,CC(C)C(C)C(=O)NC,1
136,CC1=C(C=O)C(C)CN1,1
137,C#CC12C=CC3C1NC32,1
138,C#CC12CC3C4C1C3C24,1
139,CC(C)C1CC2C(C)C12,1
