idx,smiles_raw,smiles_canon,valid,unique_valid,novel
0,CCC1(C#N)CO1,CCC1(C#N)CO1,1,1,1
1,CC1C(C)(C)C2CC1C2,CC1C2CC(C2)C1(C)C,1,1,1
2,CC#CC1C(C)C2CN12,CC#CC1C(C)C2CN12,1,1,0
3,CC1CC2C(C)C1C2=O,CC1CC2C(=O)C1C2C,1,1,0
4,CC(C)C1C(O)C1(C)O,CC(C)C1C(O)C1(C)O,1,1,0
5,CC12COC1(C#N)C2O,CC12COC1(C#N)C2O,1,1,0
6,C#CC1CC1(O)C#N,C#CC1CC1(O)C#N,1,1,1
7,O=C1CCC1OCC=O,O=CCOC1CCC1=O,1,1,0
8,C#CC1C(=O)NC1=N,C#CC1C(=N)NC1=O,1,1,1
9,O=C1CN2CC13CC2C3,O=C1CN2CC13CC2C3,1,1,1
10,COCC1(O)CCC1O,COCC1(O)CCC1O,1,1,0
11,OC1C2OC3C4C3C1N42,OC1C2OC3C4C1N2C34,1,1,1
12,OC1COCC2OCC12,OC1COCC2OCC12,1,1,0
13,C#CC(=O)N1CC1C,C#CC(=O)N1CC1C,1,1,0
14,C1=CC(CC2CC2)CO1,C1=CC(CC2CC2)CO1,1,1,1
15,CCC1(C)OC2CC1C2,CCC1(C)OC2CC1C2,1,1,0
16,CC1(C)C2CN3C2C3C1,CC1(C)CC2C3C1CN23,1,1,1
17,OC1CCC12CC1CC12,OC1CCC12CC1CC12,1,1,0
18,CC1(C)CC(CO)C1=O,CC1(C)CC(CO)C1=O,1,1,0
19,COC1C(=O)C1CC,CCC1C(=O)C1OC,1,1,1
20,O=C1CC2C3C4CC13N24,O=C1CC2C3C4CC13N24,1,1,0
21,CC12C=CCCC1CO2,CC12C=CCCC1CO2,1,1,0
22,C#CC(O)C(C)(C)O,C#CC(O)C(C)(C)O,1,1,0
23,COC1CC(CC=O)C1,COC1CC(CC=O)C1,1,1,0
24,CC1C(C#N)C1(O)CO,CC1C(C#N)C1(O)CO,1,1,1
25,CCC(O)CC1CC1O,CCC(O)CC1CC1O,1,1,1
26,CNC(=O)N1CCC1=O,CNC(=O)N1CCC1=O,1,1,0
27,CC(=O)C(C)(C)CCO,CC(=O)C(C)(C)CCO,1,1,0
28,CNc1oc(N)cc1N,CNc1oc(N)cc1N,1,1,0
29,CC(C)C(C)CCO,CC(C)C(C)CCO,1,1,0
30,C1=CCC(C2CO2)CN1,C1=CNCC(C2CO2)C1,1,1,1
31,CC1=CC(=O)COC1,CC1=CC(=O)COC1,1,1,0
32,COC1C2OC3CC2C31,COC1C2OC3CC2C31,1,1,0
33,O=C1CCC2OCC12O,O=C1CCC2OCC12O,1,1,0
34,CC#CC1C=CCC=N1,CC#CC1C=CCC=N1,1,1,1
35,CC1(C#N)CC2C(O)C21,CC1(C#N)CC2C(O)C21,1,1,1
36,O=C1CN=C2COC12,O=C1CN=C2COC12,1,1,1
37,CC(C)C1OC(=O)C1C,CC(C)C1OC(=O)C1C,1,1,0
38,CC12OCC3C(C1)C32,CC12CC3C(CO1)C32,1,1,1
39,CCC12CC(C)(C1)C2O,CCC12CC(C)(C1)C2O,1,1,0
40,O=C1NC2CCC3C2N13,O=C1NC2CCC3C2N13,1,1,0
41,C1CC2CC3CC1C2O3,C1CC2CC3CC1C2O3,1,1,0
42,O=C1NCC2OC3C2C13,O=C1NCC2OC3C1C23,1,1,0
43,OC1C2CC3CC3C12,OC1C2CC3CC3C12,1,1,1
44,C1CC2CC3(CC3)C2C1,C1CC2CC3(CC3)C2C1,1,1,0
